revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
sniffing,44155,44234,79,71.89263450464384,34.96935570532959
rising,44235,44263,28,41.864342612215,28.405210454808465
sniffing,44264,44282,18,19.270431169305756,28.16258975417355
left_turning,44283,44318,35,125.84758426535713,29.68335372334583
rising,44319,44359,40,60.071295890878865,28.23883175781098
climbing,44360,44397,37,49.73963225300548,54.32557866303492
rising,44398,44404,6,133.87354329625256,33.61213195776665
walking,44405,44551,146,139.09894650975153,33.588614397155474
sniffing,44552,44572,20,58.37690640260753,31.577987053609128
left_turning,44573,44603,30,126.01823155844302,31.386998648700466
sniffing,44604,44644,40,28.26833134788186,32.25536300141027
rising,44645,44659,14,44.10404174644488,35.20083458646817
climbing,44660,44688,28,42.7622885091769,51.33362035083215
rising,44689,44702,13,30.099623859136756,36.76746029770056
left_turning,44703,44718,15,74.75507243822454,32.20868274506587
walking,44719,44763,44,137.13523457731372,32.650455231405104
sniffing,44764,44794,30,36.07661108199554,33.14743349715657
walking,44795,44809,14,97.8199867056243,32.45439552355905
sniffing,44810,44851,41,29.88303314412608,30.423421232441488
rearing,44852,44876,24,45.2338706573634,43.24771498283875
climbing,44877,44921,44,50.70307380981847,58.151108915604595
right_turning,44922,44941,19,131.91978370130101,39.94979584822846
walking,44942,44999,57,76.58449990450069,34.77389997795255
sniffing,45000,45045,45,59.190409781943266,32.60999142386663
walking,45046,45058,12,86.68697284648191,38.611693583973825
rearing,45059,45075,16,48.27489578890135,43.354174228612024
right_turning,45076,45123,47,72.61124705815372,32.437814680477445
sniffing,45124,45171,47,116.1287964070368,32.19949631592076
left_turning,45172,45248,76,104.25153287026153,30.01792487805244
walking,45249,45284,35,144.08000738989494,31.18893194654518
sniffing,45285,45320,35,74.66592226387871,30.97569180113683
walking,45321,45395,74,158.77782366422892,32.49433973386601
left_turning,45396,45482,86,105.82056588090616,32.31443440712455
walking,45483,45525,42,95.61582286756585,30.98179918214873
sniffing,45526,45659,133,29.07075639043115,30.405737820378082
left_turning,45660,45679,19,97.06992837712734,35.266264628585645
right_turning,45680,45707,27,71.13029044761583,30.801283361414907
sniffing,45708,45739,31,68.54419520997058,29.346317893880133
rising,45740,45764,24,17.77342718019551,31.12071482586243
climbing,45765,45852,87,46.14814705883256,55.118929428002964
walking,45853,45879,26,158.45758745469496,41.776650907210765
rising,45880,45918,38,48.18091210227338,39.06339662089271
walking,45919,45997,78,168.04153708337793,35.60733647768224
sniffing,45998,46043,45,46.260364340579315,32.11238955967811
walking,46044,46073,29,192.12806058578943,38.658084829463895
climbing,46074,46103,29,50.5197868837472,55.45833257854328
rising,46104,46114,10,74.58036201245649,34.178765853537975
sniffing,46115,46255,140,36.57129535177683,36.75345643032604
walking,46256,46299,43,164.59983210915615,38.952165475595116
sniffing,46300,46329,29,85.60741016977799,36.58957506452667
rising,46330,46344,14,47.25721833329613,40.68770323207601
walking,46345,46396,51,185.36362003107226,34.40589412820273
left_turning,46397,46492,95,112.84210362445793,34.08390980489461
sniffing,46493,46527,34,61.305052559226574,33.73543175100823
climbing,46528,46557,29,66.7849682819856,54.1746966617412
walking,46558,46562,4,110.89103377784488,38.87132613417519
left_turning,46563,46594,31,112.64062453313673,29.16653130068684
sniffing,46595,46607,12,30.067775224696828,33.821881840928924
right_turning,46608,46628,20,61.08306598051325,33.76555821533234
walking,46629,46689,60,201.46376746984626,31.065635839568312
sniffing,46690,46714,24,34.77323135751892,30.83935579332633
right_turning,46715,46736,21,74.22198649573124,29.94183878927114
trotting,46737,46777,40,289.88529361588263,33.305660680389444
sniffing,46778,46794,16,42.72348640663732,29.35626192592909
rising,46795,46817,22,53.54814361880227,47.714700458367965
climbing,46818,46857,39,46.318007090211594,57.0395619503797
left_turning,46858,46867,9,94.57114792205178,39.31923556112871
sniffing,46868,46935,67,39.885936189558166,37.98455166914994
walking,46936,46948,12,131.71705065790093,42.62906240834566
climbing,46949,46967,18,75.44914432469231,47.5514446653497
right_turning,46968,46978,10,172.9699467070251,35.000227002389124
climbing,46979,47057,78,51.357620294835414,52.164501241693905
left_turning,47058,47064,6,172.89959188829684,40.58028740985042
walking,47065,47072,7,180.0302216559524,40.41191106941396
rising,47073,47080,7,105.86977411297019,42.485324748583785
climbing,47081,47111,30,67.91315716272376,56.225258049598374
right_turning,47112,47115,3,171.90476373558238,30.44087760350732
walking,47116,47125,9,144.44388695787245,35.99935853519983
climbing,47126,47166,40,60.88040813718242,54.622054061479005
left_turning,47167,47209,42,160.9114426044303,44.17141603252582
sniffing,47210,47241,31,19.82869820411852,42.65798253803568
left_turning,47242,47282,40,111.24223936074098,38.218148227812875
sniffing,47283,47323,40,37.37307788287352,32.24015411471198
climbing,47324,47358,34,48.40040798221194,55.623684891008956
rising,47359,47380,21,16.914109842260544,35.494430904359426
sniffing,47381,47411,30,14.634918527340998,31.545929693709788
right_turning,47412,47432,20,93.84979993504474,29.604191231852237
walking,47433,47459,26,154.78327972999753,31.518759448846996
sniffing,47460,47486,26,26.142144502569256,28.147765140181345
climbing,47487,47542,55,50.8604082319768,53.3171454637076
hunching,47543,47573,30,29.81887124600582,37.13928860163007
right_turning,47574,47600,26,75.16251503571716,32.59196628396702
walking,47601,47634,33,176.85580079168926,33.32821566362431
left_turning,47635,47657,22,107.15213043109857,37.32601985746842
walking,47658,47769,111,144.8644127901829,33.85257952568939
sniffing,47770,47813,43,39.21554967646337,32.61746102745141
left_turning,47814,47849,35,122.70380023877881,31.03752720954888
sniffing,47850,47892,42,40.373746852161496,31.680319471267236
climbing,47893,47935,42,42.046120064110106,52.54847752333942
rising,47936,47945,9,25.075255212917966,33.76496891648238
sniffing,47946,48025,79,71.58815174440672,34.53864946151624
climbing,48026,48083,57,41.133380587978934,55.983950713274396
left_turning,48084,48108,24,148.41260436608613,37.41605768225938
stepping,48109,48139,30,116.3671308596178,35.90216132300923
sniffing,48140,48171,31,14.516296798910698,30.186131888866502
left_turning,48172,48186,14,107.66987886264256,33.47684434122194
walking,48187,48195,8,103.07054453298508,39.456627750045875
rearing,48196,48211,15,38.84949897690326,44.02763710064231
sniffing,48212,48295,83,74.99400880666535,34.94621744408917
climbing,48296,48342,46,49.915518124408294,58.679936059975155
right_turning,48343,48345,2,246.75063551618032,39.78679392372648
walking,48346,48357,11,204.32747396866128,34.054972902588034
