revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
climbing,28136,28193,57,16.411501631564114,59.596128816820915
rising,28194,28200,6,36.14532033651799,33.139740292193316
sniffing,28201,28272,71,43.019843326154415,30.05507009267431
walking,28273,28329,56,169.19128262585528,29.195280519789744
sniffing,28330,28339,9,28.49864064942786,30.360580820782097
hunching,28340,28344,4,24.7591456845313,35.67870535403385
climbing,28345,28403,58,14.718104980576982,41.71176882570575
hunching,28404,28422,18,23.530279183422856,34.45954568565759
rising,28423,28501,78,11.732460094571795,30.370353475713653
rearing,28502,28504,2,16.45573885483365,37.46092656345823
hunching,28505,28551,46,25.033733733649377,34.67074222500123
sniffing,28552,28612,60,34.720039403463545,26.47291351890232
walking,28613,28626,13,193.50531539802836,23.13708191699158
sniffing,28627,28636,9,49.02873915575218,27.648714735010877
rearing,28637,28670,33,19.755660017635186,42.991969984839486
sniffing,28671,28714,43,33.494146035483,25.025917496806105
right_turning,28715,28736,21,74.26990712687366,28.810048899431834
walking,28737,28767,30,110.47512210939718,28.12166170615585
trotting,28768,28808,40,256.7573695615016,28.447249765743187
sniffing,28809,28818,9,73.56358740431475,31.71328932332846
hunching,28819,28823,4,18.83447820267464,37.35954791947906
climbing,28824,28880,56,14.430072729060662,40.650681162728276
hunching,28881,28942,61,32.33769558794703,35.92605500918612
walking,28943,28952,9,73.91168558654381,28.994486376328627
climbing,28953,29046,93,19.346409000783346,48.86857263167423
hunching,29047,29136,89,19.116381394303957,35.33998506016156
sniffing,29137,29154,17,82.7580374833965,33.13517907155808
walking,29155,29194,39,91.5616105817625,27.510108897527964
rearing,29195,29230,35,40.20362192393856,43.650412729653375
walking,29231,29234,3,82.02191374432621,20.983237285367018
stepping,29235,29264,29,68.33539656437418,21.985875671617183
sniffing,29265,29300,35,66.89458926627108,29.39768865260293
grooming,29301,29320,19,32.14706849086124,36.75920613938449
sniffing,29321,29367,46,62.21865007312226,23.83604303082232
