revised_movement_label,segBoundary_start,segBoundary_end,frame_length,average_speed,average_back_height
sniffing,58990,59032,42,54.08637000333792,26.9039516293634
right_turning,59033,59099,66,80.54696276816114,28.756806902927757
walking,59100,59143,43,124.83389518981723,30.222902337121116
stepping,59144,59184,40,111.97856409288947,32.76601276446517
rearing,59185,59209,24,38.661979847993116,38.68357053470029
sniffing,59210,59256,46,55.22965367616937,33.578403835991224
climbing,59257,59281,24,33.55235674300323,43.282042017308385
sniffing,59282,59286,4,69.90476985429841,36.47992409722802
left_turning,59287,59319,32,97.69030508071009,32.055565221089964
rising,59320,59344,24,54.280673939786084,33.166617457593624
walking,59345,59400,55,123.36883226253381,28.156106177390228
sniffing,59401,59412,11,29.749026563918278,28.64755248220719
rearing,59413,59492,79,17.709436225498866,33.01582935078561
climbing,59493,59527,34,46.53914432086814,46.854153231623606
hunching,59528,59557,29,32.47867608002959,36.08282683541797
right_turning,59558,59577,19,55.02154440942801,32.048759276098366
climbing,59578,59637,59,43.89042141890286,44.175061108347414
grooming,59638,59692,54,18.1854274601044,36.08293527379034
hunching,59693,59717,24,20.295740899089303,34.994139266456656
sniffing,59718,59792,74,41.61622401679693,30.73651717561193
running,59793,59832,39,298.20648278503063,30.00532348482226
walking,59833,59855,22,98.03459906933574,28.376197568173346
stepping,59856,59896,40,86.82942486564585,28.24642032621938
sniffing,59897,59915,18,52.11991836127601,31.868039784954487
climbing,59916,59955,39,48.82066812449036,49.11260185194633
rising,59956,59972,16,86.49626795650516,35.943539580250835
trotting,59973,59982,9,210.37525643126247,29.64712358091858
sniffing,59983,60000,17,77.73760915347354,26.703544192526593
walking,60001,60043,42,153.19287178663777,25.960842849745948
sniffing,60044,60087,43,37.988612062917035,23.722395132616406
rising,60088,60117,29,21.485095504536094,27.893536772678953
climbing,60118,60192,74,55.06440208033614,44.231729884581505
grooming,60193,60252,59,22.074363448841947,34.460403765884486
sniffing,60253,60489,236,27.811985050665157,25.223851988442043
grooming,60490,60539,49,18.112000375625026,27.295218151365486
climbing,60540,60569,29,44.68882187051578,46.856484369694435
hunching,60570,60629,59,20.372208933713917,33.150905098264225
sniffing,60630,60684,54,18.643962962496747,26.063268255172233
left_turning,60685,60748,63,78.88639531417752,29.338674973283695
walking,60749,60802,53,150.72036772396712,33.17244731727425
stepping,60803,60827,24,91.89250626234835,27.62920734991462
rising,60828,60851,23,57.08350108904267,33.14536825160168
sniffing,60852,60908,56,30.00495959444843,30.55484122254195
climbing,60909,60958,49,51.925301478056554,49.13796108541795
walking,60959,61000,41,87.92788235271512,37.84290655161643
rearing,61001,61025,24,20.507007883615657,37.10687580118679
sniffing,61026,61145,119,16.336418795757808,34.27965466377311
rising,61146,61165,19,23.328214110909666,37.63090615690828
sniffing,61166,61176,10,49.74470140171798,32.3452633356689
walking,61177,61196,19,166.10525360912047,29.953872902092666
stepping,61197,61240,43,82.82650005084821,32.27000421121169
rearing,61241,61300,59,11.142526125111772,33.12091219478938
