revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
trotting,36654,36652,36654,2
walking,36682,36654,36682,28
sniffing,36693,36682,36693,11
rising,36719,36693,36719,26
climbing,36763,36719,36763,44
walking,36788,36763,36788,25
rising,36840,36788,36840,52
rearing,36894,36840,36894,54
climbing,36990,36894,36990,96
rising,36999,36990,36999,9
rearing,37090,36999,37090,91
rising,37091,37090,37091,1
climbing,37132,37091,37132,41
walking,37164,37132,37164,32
sniffing,37229,37164,37229,65
climbing,37276,37229,37276,47
walking,37302,37276,37302,26
stepping,37336,37302,37336,34
climbing,37404,37336,37404,68
sniffing,37449,37404,37449,45
rising,37462,37449,37462,13
climbing,37496,37462,37496,34
right_turning,37497,37496,37497,1
stepping,37519,37497,37519,22
walking,37521,37519,37521,2
rising,37584,37521,37584,63
walking,37614,37584,37614,30
rising,37636,37614,37636,22
jumping,37686,37636,37686,50
sniffing,37687,37686,37687,1
rising,37737,37687,37737,50
walking,37840,37737,37840,103
left_turning,37894,37840,37894,54
sniffing,37903,37894,37903,9
climbing,37928,37903,37928,25
walking,37940,37928,37940,12
rearing,37941,37940,37941,1
rising,37942,37941,37942,1
climbing,37998,37942,37998,56
running,38010,37998,38010,12
