,location,points,density,statistic_type,video_index,ExperimentCondition,gender
131,corner,0.0,0.0,traditional_location,140,Stress_Light-on,male
132,center,9.344444444444445,1.4951111111111113,traditional_location,141,Stress_Light-on,male
133,perimeter,90.65555555555555,7.2524444444444445,traditional_location,141,Stress_Light-on,male
134,corner,0.0,0.0,traditional_location,141,Stress_Light-on,male
135,center,10.694444444444445,1.711111111111111,traditional_location,142,Stress_Light-on,male
136,perimeter,89.30555555555556,7.144444444444444,traditional_location,142,Stress_Light-on,male
137,corner,0.0,0.0,traditional_location,142,Stress_Light-on,male
138,center,13.088888888888889,2.094222222222222,traditional_location,143,Stress_Light-on,female
139,perimeter,86.91111111111111,6.9528888888888885,traditional_location,143,Stress_Light-on,female
140,corner,0.0,0.0,traditional_location,143,Stress_Light-on,female
141,center,11.066666666666666,1.7706666666666666,traditional_location,144,Stress_Light-on,female
142,perimeter,88.93333333333334,7.1146666666666665,traditional_location,144,Stress_Light-on,female
143,corner,0.0,0.0,traditional_location,144,Stress_Light-on,female
144,center,9.064444444444444,1.4503111111111109,traditional_location,145,Stress_Light-on,female
145,perimeter,90.93555555555555,7.274844444444444,traditional_location,145,Stress_Light-on,female
146,corner,0.0,0.0,traditional_location,145,Stress_Light-on,female
147,center,8.173333333333334,1.3077333333333334,traditional_location,146,Stress_Light-on,female
148,perimeter,91.82666666666667,7.346133333333333,traditional_location,146,Stress_Light-on,female
149,corner,0.0,0.0,traditional_location,146,Stress_Light-on,female
150,center,16.698888888888888,2.671822222222222,traditional_location,147,Stress_Light-on,male
151,perimeter,83.30111111111111,6.664088888888889,traditional_location,147,Stress_Light-on,male
152,corner,0.0,0.0,traditional_location,147,Stress_Light-on,male
153,center,22.415555555555557,3.5864888888888893,traditional_location,148,Stress_Light-on,male
154,perimeter,77.58444444444444,6.206755555555556,traditional_location,148,Stress_Light-on,male
155,corner,0.0,0.0,traditional_location,148,Stress_Light-on,male
156,center,16.791111111111114,2.6865777777777784,traditional_location,149,Stress_Light-on,male
157,perimeter,83.2088888888889,6.656711111111111,traditional_location,149,Stress_Light-on,male
158,corner,0.0,0.0,traditional_location,149,Stress_Light-on,male
159,center,25.629999999999995,4.1008,traditional_location,150,Stress_Light-on,male
160,perimeter,74.37,5.9496,traditional_location,150,Stress_Light-on,male
161,corner,0.0,0.0,traditional_location,150,Stress_Light-on,male
162,center,0.43222222222222223,0.06915555555555555,traditional_location,151,Stress_Light-on,female
163,perimeter,99.56777777777778,7.965422222222222,traditional_location,151,Stress_Light-on,female
164,corner,0.0,0.0,traditional_location,151,Stress_Light-on,female
165,center,5.538888888888889,0.8862222222222222,traditional_location,152,Stress_Light-on,female
166,perimeter,94.46111111111111,7.5568888888888885,traditional_location,152,Stress_Light-on,female
