,revised_movement_label,count,percentage,loc_type,location,statistic_type,video_index,ExperimentCondition,gender
203,hunching,1867.0,0.08237006970793259,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
204,rearing,4502.0,0.1986234889261449,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
205,climbing,16247.0,0.7168004941321804,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
206,jumping,151.0,0.00666196064590135,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
207,grooming,3503.0,0.15454866319597635,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
208,scratching,0.0,0.0,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
209,pausing,306.0,0.013500397070502074,traditional_location,perimeter,traditional_location,13,Morning_Light-on,female
210,running,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
211,trotting,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
212,left_turning,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
213,right_turning,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
214,walking,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
215,stepping,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
216,sniffing,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
217,rising,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
218,hunching,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
219,rearing,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
220,climbing,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
221,jumping,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
222,grooming,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
223,scratching,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
224,pausing,0.0,0.0,traditional_location,corner,traditional_location,13,Morning_Light-on,female
225,running,63.0,0.07711138310893513,traditional_location,center,traditional_location,14,Morning_Light-on,male
226,trotting,92.0,0.11260709914320685,traditional_location,center,traditional_location,14,Morning_Light-on,male
227,left_turning,146.0,0.17870257037943696,traditional_location,center,traditional_location,14,Morning_Light-on,male
228,right_turning,79.0,0.0966952264381885,traditional_location,center,traditional_location,14,Morning_Light-on,male
229,walking,765.0,0.9363525091799265,traditional_location,center,traditional_location,14,Morning_Light-on,male
230,stepping,126.0,0.15422276621787026,traditional_location,center,traditional_location,14,Morning_Light-on,male
231,sniffing,817.0,1.0,traditional_location,center,traditional_location,14,Morning_Light-on,male
232,rising,188.0,0.23011015911872704,traditional_location,center,traditional_location,14,Morning_Light-on,male
233,hunching,75.0,0.09179926560587515,traditional_location,center,traditional_location,14,Morning_Light-on,male
234,rearing,214.0,0.26193390452876375,traditional_location,center,traditional_location,14,Morning_Light-on,male
235,climbing,0.0,0.0,traditional_location,center,traditional_location,14,Morning_Light-on,male
236,jumping,0.0,0.0,traditional_location,center,traditional_location,14,Morning_Light-on,male
237,grooming,0.0,0.0,traditional_location,center,traditional_location,14,Morning_Light-on,male
238,scratching,0.0,0.0,traditional_location,center,traditional_location,14,Morning_Light-on,male
239,pausing,0.0,0.0,traditional_location,center,traditional_location,14,Morning_Light-on,male
240,running,208.0,0.007324717399725323,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
241,trotting,1257.0,0.04426523928584005,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
242,left_turning,3118.0,0.10980033102088249,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
243,right_turning,2620.0,0.09226326724654013,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
244,walking,9529.0,0.33556361587491634,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
245,stepping,2783.0,0.09800331020882487,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
246,sniffing,28397.0,1.0,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
247,rising,8645.0,0.30443356692608375,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
248,hunching,3076.0,0.10832130154593796,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
249,rearing,3959.0,0.1394161355072719,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
250,climbing,16241.0,0.5719266119660528,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
251,jumping,0.0,0.0,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
252,grooming,6545.0,0.23048209317885693,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
253,scratching,0.0,0.0,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
254,pausing,1055.0,0.03715181181110681,traditional_location,perimeter,traditional_location,14,Morning_Light-on,male
255,running,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
256,trotting,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
257,left_turning,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
258,right_turning,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
259,walking,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
260,stepping,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
261,sniffing,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
262,rising,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
263,hunching,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
264,rearing,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
265,climbing,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
266,jumping,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
267,grooming,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
268,scratching,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
269,pausing,0.0,0.0,traditional_location,corner,traditional_location,14,Morning_Light-on,male
270,running,144.0,0.10794602698650675,traditional_location,center,traditional_location,15,Morning_Light-on,female
271,trotting,505.0,0.3785607196401799,traditional_location,center,traditional_location,15,Morning_Light-on,female
272,left_turning,397.0,0.29760119940029983,traditional_location,center,traditional_location,15,Morning_Light-on,female
273,right_turning,114.0,0.08545727136431784,traditional_location,center,traditional_location,15,Morning_Light-on,female
274,walking,1334.0,1.0,traditional_location,center,traditional_location,15,Morning_Light-on,female
275,stepping,352.0,0.2638680659670165,traditional_location,center,traditional_location,15,Morning_Light-on,female
276,sniffing,794.0,0.5952023988005997,traditional_location,center,traditional_location,15,Morning_Light-on,female
277,rising,258.0,0.1934032983508246,traditional_location,center,traditional_location,15,Morning_Light-on,female
278,hunching,80.0,0.05997001499250375,traditional_location,center,traditional_location,15,Morning_Light-on,female
279,rearing,38.0,0.02848575712143928,traditional_location,center,traditional_location,15,Morning_Light-on,female
280,climbing,0.0,0.0,traditional_location,center,traditional_location,15,Morning_Light-on,female
281,jumping,0.0,0.0,traditional_location,center,traditional_location,15,Morning_Light-on,female
282,grooming,0.0,0.0,traditional_location,center,traditional_location,15,Morning_Light-on,female
283,scratching,0.0,0.0,traditional_location,center,traditional_location,15,Morning_Light-on,female
284,pausing,0.0,0.0,traditional_location,center,traditional_location,15,Morning_Light-on,female
285,running,1077.0,0.05784413770879209,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
286,trotting,2645.0,0.14205918685214028,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
287,left_turning,4306.0,0.2312691336806488,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
288,right_turning,1624.0,0.08722272946989634,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
289,walking,10338.0,0.5552392717116924,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
290,stepping,2307.0,0.12390568773833181,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
291,sniffing,18619.0,1.0,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
292,rising,7748.0,0.41613405660884045,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
293,hunching,1997.0,0.10725602878779741,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
294,rearing,5717.0,0.30705193619421023,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
295,climbing,18412.0,0.9888823245072238,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
296,jumping,616.0,0.033084483592029645,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
297,grooming,10123.0,0.5436919276008378,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
298,scratching,0.0,0.0,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
299,pausing,453.0,0.02432998549868414,traditional_location,perimeter,traditional_location,15,Morning_Light-on,female
300,running,0.0,0.0,traditional_location,corner,traditional_location,15,Morning_Light-on,female
301,trotting,0.0,0.0,traditional_location,corner,traditional_location,15,Morning_Light-on,female
302,left_turning,0.0,0.0,traditional_location,corner,traditional_location,15,Morning_Light-on,female
303,right_turning,0.0,0.0,traditional_location,corner,traditional_location,15,Morning_Light-on,female
304,walking,0.0,0.0,traditional_location,corner,traditional_location,15,Morning_Light-on,female
305,stepping,0.0,0.0,traditional_location,corner,traditional_location,15,Morning_Light-on,female
