,revised_movement_label,step_type,bouts,valley_time_gap,vally_value,peak_time_gap,peak_value,group
966,trotting,distance1,57,9.0,44.40496186589078,7.0,56.84156217701893,Morning_lightOn
967,trotting,distance1,58,7.666666666666667,42.59626160903712,7.5,49.7127839064709,Morning_lightOn
968,trotting,distance1,59,6.0,46.983732405304295,6.5,58.03382501111329,Morning_lightOn
969,trotting,distance1,60,7.5,43.81808112011182,7.0,57.50175948509668,Morning_lightOn
970,trotting,distance1,61,6.8,42.828335115362215,6.75,50.08091236983005,Morning_lightOn
971,trotting,distance1,62,6.0,47.80453616324059,6.0,52.35585253957436,Morning_lightOn
972,trotting,distance1,63,7.666666666666667,47.3656778906724,6.5,58.44102087703075,Morning_lightOn
973,trotting,distance1,64,6.5,42.86064017663185,6.0,57.80130781534707,Morning_lightOn
974,trotting,distance1,65,6.0,42.347696702456425,6.0,54.59966684715444,Morning_lightOn
975,trotting,distance1,66,6.4,43.455985567600315,5.75,57.66160569640609,Morning_lightOn
976,trotting,distance1,67,6.666666666666667,43.66750858826976,6.285714285714286,49.4453750873523,Morning_lightOn
977,trotting,distance1,68,5.333333333333333,46.76410719650705,5.5,54.35388012356655,Morning_lightOn
978,trotting,distance1,69,4.875,45.529174857514434,5.0,53.102518331591355,Morning_lightOn
979,trotting,distance1,70,7.0,43.724815701782276,6.6,53.854313994528816,Morning_lightOn
980,trotting,distance1,71,6.0,42.572407747424535,6.0,51.277520493210005,Morning_lightOn
981,trotting,distance1,72,6.0,44.384683687379045,5.5,57.15650346359814,Morning_lightOn
982,trotting,distance1,73,6.666666666666667,45.196912240722575,6.75,54.8195883985825,Morning_lightOn
983,trotting,distance1,74,6.4,46.314529442031635,6.75,53.64245345893845,Morning_lightOn
984,trotting,distance1,75,6.5,47.91185817074826,6.8,60.89854679666005,Morning_lightOn
985,trotting,distance1,76,6.833333333333333,45.44217897173538,6.857142857142857,51.66649949474609,Morning_lightOn
986,trotting,distance1,77,5.0,49.59118939991556,4.75,57.20816321538753,Morning_lightOn
987,trotting,distance1,78,5.0,47.30393945499591,6.0,51.42848461210234,Morning_lightOn
988,trotting,distance1,79,6.25,43.725542785452376,6.6,53.87633908526862,Morning_lightOn
989,trotting,distance1,80,8.2,41.592142561908155,8.0,58.250730183424515,Morning_lightOn
990,trotting,distance1,81,9.0,43.659141050898846,7.666666666666667,51.1737613084734,Morning_lightOn
991,trotting,distance1,82,6.0,44.94096319829615,6.0,49.72281005367876,Morning_lightOn
992,trotting,distance1,83,7.0,44.36528253005627,6.5,56.76352906176105,Morning_lightOn
993,trotting,distance1,84,6.5,41.73284642573622,7.0,55.06183123493524,Morning_lightOn
994,trotting,distance1,85,7.5,46.13998621984579,7.0,58.503515095547186,Morning_lightOn
995,trotting,distance1,86,6.666666666666667,44.334949163395265,6.25,54.67344062941876,Morning_lightOn
996,trotting,distance1,87,8.0,44.12942444727069,7.0,58.31637638448695,Morning_lightOn
997,trotting,distance1,88,6.75,41.70772405614508,7.0,56.29295776510764,Morning_lightOn
998,trotting,distance1,89,7.8,41.3095830247788,8.25,48.4639024211847,Morning_lightOn
999,trotting,distance1,90,9.333333333333334,43.55820045738878,8.5,55.874601311273544,Morning_lightOn
1000,trotting,distance1,91,6.571428571428571,41.79786194018023,6.5,55.2846015090818,Morning_lightOn
1001,trotting,distance1,92,6.2,40.59617241932528,6.0,52.596663925266604,Morning_lightOn
1002,trotting,distance1,93,5.5,44.40536473144225,5.0,50.38178084254738,Morning_lightOn
1003,trotting,distance1,94,8.0,42.932460083956244,8.5,50.42939280065917,Morning_lightOn
1004,trotting,distance1,95,7.5,42.62645887970564,8.0,54.34269722360113,Morning_lightOn
1005,trotting,distance1,96,11.0,41.471120972796086,9.5,51.877242841265904,Morning_lightOn
1006,trotting,distance1,97,6.5,44.53567803356584,6.6,57.86491021706149,Morning_lightOn
1007,trotting,distance1,98,5.0,48.360104685563705,6.0,58.129165537135336,Morning_lightOn
1008,trotting,distance1,99,4.333333333333333,47.238865848243755,4.285714285714286,52.38922210068032,Morning_lightOn
1009,trotting,distance1,100,4.5,48.68174525116424,5.4,53.70546197233296,Morning_lightOn
1010,trotting,distance1,101,7.25,40.921447273967615,8.2,50.32757363333914,Morning_lightOn
1011,trotting,distance1,102,10.0,43.544422580332,11.5,57.28796194064404,Morning_lightOn
1012,trotting,distance1,103,8.5,47.99102110328709,6.0,58.230595174196694,Morning_lightOn
1013,trotting,distance1,104,7.5,47.14932951517983,6.0,61.246720981576196,Morning_lightOn
1014,trotting,distance1,105,8.5,43.841793593240816,8.0,56.9955266499285,Morning_lightOn
1015,trotting,distance1,106,8.5,46.89439468575197,8.333333333333334,57.71887607584962,Morning_lightOn
1016,trotting,distance1,107,8.0,42.53779443521891,7.5,55.29093309356055,Morning_lightOn
1017,trotting,distance1,108,8.0,43.67939227765434,5.0,50.89861366309853,Morning_lightOn
1018,trotting,distance1,109,9.0,44.26313640771838,7.5,56.240758508328675,Morning_lightOn
1019,trotting,distance1,110,8.5,43.78637996225077,8.666666666666666,56.43629245161017,Morning_lightOn
1020,trotting,distance1,111,6.0,46.925675433566575,6.0,56.900888062032664,Morning_lightOn
1021,trotting,distance1,112,8.0,41.97120893958272,7.666666666666667,52.42494056042426,Morning_lightOn
1022,trotting,distance1,113,6.0,45.57324474648995,7.0,52.6239317460744,Morning_lightOn
1023,trotting,distance1,114,6.333333333333333,49.446828392575085,6.5,58.51567777920987,Morning_lightOn
1024,trotting,distance1,115,7.0,42.16683851443454,6.5,51.519766918753476,Morning_lightOn
1025,trotting,distance1,116,6.0,46.36023281325562,7.0,57.14044396813398,Morning_lightOn
1026,trotting,distance1,117,7.0,46.495122295757405,6.833333333333333,56.12107825134551,Morning_lightOn
1027,trotting,distance1,118,4.0,47.90431842130817,4.666666666666667,54.26637937181872,Morning_lightOn
1028,trotting,distance1,119,6.0,42.8093817972487,6.333333333333333,57.45253560117536,Morning_lightOn
1029,walking,distance1,1,11.2,44.02299335640388,10.25,56.20656575667083,Morning_lightOn
1030,walking,distance1,2,9.666666666666666,43.654096285951624,9.5,57.91075521799439,Morning_lightOn
