revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
trotting,39379,39336,39379,43
sniffing,39414,39379,39414,35
grooming,39498,39414,39498,84
stepping,39516,39498,39516,18
grooming,39537,39516,39537,21
climbing,39602,39537,39602,65
running,39620,39602,39620,18
climbing,39657,39620,39657,37
grooming,39658,39657,39658,1
rising,39667,39658,39667,9
climbing,39714,39667,39714,47
left_turning,39743,39714,39743,29
scratching,39770,39743,39770,27
sniffing,39794,39770,39794,24
rearing,39860,39794,39860,66
hunching,39866,39860,39866,6
rising,39940,39866,39940,74
rearing,39952,39940,39952,12
grooming,40079,39952,40079,127
right_turning,40087,40079,40087,8
walking,40107,40087,40107,20
grooming,40108,40107,40108,1
rising,40145,40108,40145,37
climbing,40186,40145,40186,41
right_turning,40195,40186,40195,9
walking,40225,40195,40225,30
stepping,40285,40225,40285,60
rising,40286,40285,40286,1
grooming,40390,40286,40390,104
trotting,40418,40390,40418,28
rising,40424,40418,40424,6
stepping,40437,40424,40437,13
sniffing,40538,40437,40538,101
left_turning,40551,40538,40551,13
stepping,40562,40551,40562,11
sniffing,40563,40562,40563,1
walking,40599,40563,40599,36
trotting,40615,40599,40615,16
climbing,40669,40615,40669,54
left_turning,40688,40669,40688,19
trotting,40713,40688,40713,25
sniffing,40809,40713,40809,96
walking,40847,40809,40847,38
sniffing,40956,40847,40956,109
rising,40974,40956,40974,18
climbing,41034,40974,41034,60
right_turning,41058,41034,41058,24
stepping,41059,41058,41059,1
sniffing,41077,41059,41077,18
left_turning,41079,41077,41079,2
sniffing,41151,41079,41151,72
walking,41157,41151,41157,6
sniffing,41246,41157,41246,89
left_turning,41283,41246,41283,37
sniffing,41336,41283,41336,53
stepping,41369,41336,41369,33
walking,41409,41369,41409,40
sniffing,41495,41409,41495,86
left_turning,41526,41495,41526,31
climbing,41563,41526,41563,37
rearing,41643,41563,41643,80
climbing,41667,41643,41667,24
grooming,41903,41667,41903,236
rising,41931,41903,41931,28
rearing,42093,41931,42093,162
sniffing,42121,42093,42121,28
stepping,42130,42121,42130,9
rising,42184,42130,42184,54
rearing,42185,42184,42185,1
hunching,42278,42185,42278,93
rearing,42368,42278,42368,90
grooming,42538,42368,42538,170
hunching,42597,42538,42597,59
rearing,42623,42597,42623,26
grooming,42665,42623,42665,42
left_turning,42672,42665,42672,7
stepping,42696,42672,42696,24
trotting,42705,42696,42705,9
stepping,42735,42705,42735,30
sniffing,42736,42735,42736,1
trotting,42753,42736,42753,17
right_turning,42774,42753,42774,21
sniffing,42778,42774,42778,4
walking,42786,42778,42786,8
rearing,42789,42786,42789,3
climbing,42881,42789,42881,92
walking,42922,42881,42922,41
sniffing,42947,42922,42947,25
left_turning,42953,42947,42953,6
sniffing,42954,42953,42954,1
grooming,42993,42954,42993,39
rising,43020,42993,43020,27
sniffing,43038,43020,43038,18
walking,43055,43038,43055,17
rearing,43097,43055,43097,42
grooming,43127,43097,43127,30
walking,43141,43127,43141,14
rising,43208,43141,43208,67
stepping,43279,43208,43279,71
sniffing,43339,43279,43339,60
left_turning,43401,43339,43401,62
walking,43421,43401,43421,20
sniffing,43450,43421,43450,29
