,sniffing_Morning_Light-on,sniffing_Stress_Light-on,rising_Morning_Light-on,rising_Stress_Light-on,hunching_Morning_Light-on,hunching_Stress_Light-on,rearing_Morning_Light-on,rearing_Stress_Light-on,climbing_Morning_Light-on,climbing_Stress_Light-on
24,178.22265825307775,175.0129929511775,174.35399121687163,173.22514228541658,158.50066054360775,175.56761602028473,177.54114029407032,169.4274985374767,123.95473944234067,161.4015799732226
25,170.23693755673537,170.882854896719,171.26676737623404,178.66015999655372,143.8707234837314,161.61204178653043,163.52075406921267,142.81828720452427,139.97572245134776,156.60998146597962
26,157.280992571457,169.70080353948623,164.45517375694902,179.70272111816485,174.26978429628497,125.57742101096012,160.35841581919598,174.98764596273625,131.09002106922122,158.00731388765297
27,171.16744979769564,154.07699468587572,164.75940389626305,178.36415728206055,178.13018073631142,164.3584465447558,152.22889456468928,172.25477924278832,148.8808971517424,155.3645616405963
28,169.46102328151247,174.8033745991687,171.65117838524736,162.28681943738772,167.70237351640273,130.6658718221201,174.93357193020668,161.5100615375497,149.89279273026546,168.2070198996189
29,157.766563140822,174.4463238203472,165.29573283417662,173.81879093729466,161.48486914084071,142.8342593553525,178.07691914653924,146.64029499947202,156.0961825370421,162.6955237369278
30,179.16122068052542,175.143178382444,173.2729069968132,162.27979278937497,154.69754400387447,172.14587228429014,165.1972071411884,170.94588345275332,158.33493773330494,156.12215069470338
31,176.86093335708037,169.73697834616124,177.00088990275333,173.72260482854867,172.39830792352544,169.34932014275515,171.52732855668364,128.44708829968735,121.51587669964255,157.23402047540802
32,158.7663569796696,175.96680556061202,177.60037430584023,176.85065066647502,169.26722465117092,179.88291945142825,174.699518222067,173.61409244813845,131.42928123649514,145.17671679725098
33,165.48104151033903,166.22692621847335,174.60960607535372,175.98949726141726,159.46535651725287,175.26654900566186,171.0895709192258,177.35759407860075,149.26174777586675,161.6171482902406
34,166.70637501054475,168.3276919253386,172.84687096752455,177.49609247972313,157.84482247533592,178.2991000732625,171.53706988276764,153.74558122487682,150.5638534863735,161.0965701577675
35,162.8011854150328,173.36721364580097,162.41212176663228,168.9520821300642,177.61807961836223,148.43071301811418,174.22225353877096,178.2009563303751,163.24099621174162,174.63535449443887
36,178.44065373066545,176.37339074333815,167.06629536636632,173.1396805763045,174.8209052332053,175.7221928949583,179.97936133952783,177.0810042254551,155.67705478237366,168.21719149263387
37,175.03000443240504,154.98771346863867,173.10296284099798,171.4645439704368,164.93237142729004,171.80757700173612,166.53575774248336,169.17153800920414,174.78530882406642,167.92459765846598
38,166.82226183806262,177.57538400597005,179.63816956879347,177.32280135490893,170.90419565360764,169.31934879662305,171.25352075089202,164.9141295477281,147.18125292511849,169.35663192752327
39,177.71718756578798,169.41637771943482,173.13203642742133,178.6757215753006,164.3686208023613,165.8368222993321,178.42090743395244,178.53788197738734,175.19842038558284,168.41382827699383
40,170.55383719192542,174.17571785920506,174.89763849215495,166.6185756321714,179.10123402980634,162.04305187205654,179.47459982985168,172.09492251414318,178.1289970768179,147.72961593575792
41,162.3051369728303,168.51331641131566,170.72613828600984,175.24807986393247,161.87973730694384,161.39210071977476,172.51725975389647,174.37009114784476,171.56679019558229,159.6468844543955
42,174.3345732881202,154.93126230063766,174.08099927933378,159.9877223339621,160.73598789864778,171.98259309304444,163.41206492589086,144.2762250243183,116.79513029731427,156.62035036851884
43,163.43180969889823,162.9362417924613,178.41489681580632,172.03990812078715,158.16467765667122,162.60850212060916,169.42914858601202,156.8247859597574,146.44849933219658,168.82225827935912
44,178.28287519185923,158.6349643834562,177.7228879494531,179.61270064728444,164.80935569370257,179.9640918246746,177.97013279914182,155.25314870480878,173.7341759048222,157.21013389697117
45,159.4721670515632,169.20935213427077,176.07899392036217,174.11628010916408,159.1829260762796,159.27242181589145,173.93372489465932,176.21622411372456,175.84573856375778,176.01780421739426
46,174.64723652080107,170.6090634565533,164.5421818027766,170.96258442433012,138.18634513787921,79.93575307088909,164.77586537909053,177.59873038409273,156.07713502309414,145.8159486099481
47,164.8602759738103,168.05874219596097,177.8393126521456,178.02337910346128,161.27908930152302,50.84914585056219,154.7220966760199,157.5975042814875,175.74406964818277,170.95156703418752
48,157.58971470144283,167.87193988332248,179.68942834751576,169.09495960770124,177.81349393408954,164.90558710867182,167.06780090394454,173.29693923965286,167.61740848958547,170.72841887249157
49,160.39781453789362,162.1916437201116,175.40236785296523,179.85357220242875,164.44473886546345,174.19232367714642,176.26225682486321,164.47356662611043,152.96268983266032,137.49073286911107
50,168.71060713339543,174.8383961946204,178.15717854672576,177.3481778472213,156.77810830188488,159.28841965033652,177.3490984024108,176.1009577007169,172.72803772425135,139.43124126424638
51,179.66514706609604,155.7496631770607,178.43299345555488,179.56912520654302,170.88261299900677,171.75798603823364,170.94102609841303,142.0721886675191,167.38939788909505,146.22561165354662
52,156.20227027042003,178.82720179604786,174.29198119280045,178.18267707979564,146.07365019875945,176.04288232196876,178.49433417356667,161.6297042628718,167.8264453741254,169.84265999268598
53,170.80807302985147,177.2675649753308,165.22104521253536,166.59839010517754,173.25870954918193,141.73177381917074,179.3804510555708,149.16518026027978,169.6045632531471,171.64998441224984
54,161.3247727237406,177.17289778588358,175.53674411487134,178.55159168748418,160.3623822816181,175.04147149951675,172.11261620055558,118.56841126564024,178.98317329715698,168.31088214323427
55,171.2459258579253,179.95610434421388,171.06788347367083,174.31081458656246,152.75423837135315,176.33969258231994,179.08548091584873,172.20027010356193,160.52521076568144,173.79589861351704
56,172.16873077149418,175.59225502916865,179.5095051383218,167.42163184678122,166.6466140757783,153.03096248462705,171.3944908775058,175.5483588659702,177.7478812802557,156.34616963151842
57,178.45967770636793,172.90793941506107,179.86714929761212,148.21442124076552,167.33553574660482,173.7578662129277,178.41259977695788,152.8135641174002,168.1631317340771,162.37497636834252
