,group,group_id,gender,sniffing_fra,grooming_fra,sniffing_fre,grooming_fre,SG_fra_index,SG_fre_index,GS_fra_index,GS_fre_index,color
117,Afternoon_Light-on,0,male,20.610181867968873,6.08584533235972,174.0,39.0,3.38657667791526,4.461538461538462,0.2952834366696192,0.22413793103448276,#936736
118,Afternoon_Light-on,0,female,32.35254052581392,11.66507741906189,109.0,28.0,2.7734527053328146,3.892857142857143,0.3605614035087719,0.25688073394495414,#936736
119,Afternoon_Light-on,0,male,18.037965677206362,6.790562654751402,132.0,38.0,2.6563285834031847,3.473684210526316,0.37645945093089306,0.2878787878787879,#936736
120,Stress_Light-on,4,female,20.36140690545337,22.07970313004195,195.0,75.0,0.9221775666788454,2.6,1.0843898573692552,0.38461538461538464,#f55e6f
121,Stress_Light-on,4,female,19.16551833194027,25.72119185849504,182.0,72.0,0.745125592833304,2.5277777777777777,1.3420556341348422,0.3956043956043956,#f55e6f
122,Stress_Light-on,4,female,18.78238099691387,40.58542972037782,158.0,148.0,0.4627863035162911,1.0675675675675675,2.1608245369448316,0.9367088607594937,#f55e6f
123,Stress_Light-on,4,female,12.524789648997825,38.284845100795195,164.0,101.0,0.3271474552403943,1.6237623762376239,3.0567255956956187,0.6158536585365854,#f55e6f
124,Stress_Light-on,4,male,15.915307641702157,53.805269900626705,150.0,109.0,0.29579458798545644,1.3761467889908257,3.3807244642662893,0.7266666666666667,#f55e6f
125,Stress_Light-on,4,male,14.691841671483314,41.251899899385606,131.0,130.0,0.3561494551115724,1.0076923076923077,2.8078099956287335,0.9923664122137404,#f55e6f
126,Stress_Light-on,4,male,14.671804340263842,34.1441224478874,116.0,86.0,0.42970219435736684,1.3488372093023255,2.3271931424402696,0.7413793103448276,#f55e6f
127,Stress_Light-on,4,male,16.671100764881942,25.39075490522115,126.0,92.0,0.656581532416503,1.3695652173913044,1.5230400957510473,0.7301587301587301,#f55e6f
128,Stress_Light-on,4,female,21.812974557080057,29.2693486079659,174.0,78.0,0.7452497439981794,2.230769230769231,1.3418320610687025,0.4482758620689655,#f55e6f
129,Stress_Light-on,4,female,20.46265662854612,28.608643551202228,148.0,72.0,0.7152613367328355,2.0555555555555554,1.398090388287715,0.4864864864864865,#f55e6f
130,Stress_Light-on,4,female,14.150994526041949,24.60300254728741,138.0,70.0,0.5751734772552043,1.9714285714285715,1.7386058981233246,0.5072463768115942,#f55e6f
131,Stress_Light-on,4,female,18.24545683644611,22.109595945454036,204.0,48.0,0.8252279635258358,4.25,1.2117863720073665,0.23529411764705882,#f55e6f
132,Stress_Light-on,4,male,17.868478035179308,48.25141636757334,131.0,79.0,0.37032028032212455,1.6582278481012658,2.7003652058432936,0.6030534351145038,#f55e6f
133,Stress_Light-on,4,male,12.96433767853431,30.730171927428213,98.0,101.0,0.4218765098077109,0.9702970297029703,2.3703618873110397,1.030612244897959,#f55e6f
134,Stress_Light-on,4,male,12.561142147734328,28.878957169459962,146.0,132.0,0.43495830109190964,1.106060606060606,2.2990709626408377,0.9041095890410958,#f55e6f
135,Stress_Light-on,4,male,16.899063475546306,34.31085043988269,206.0,109.0,0.49252826027019586,1.889908256880734,2.0303403493058663,0.529126213592233,#f55e6f
136,Stress_Light-on,4,female,13.017518017781052,46.67262875480036,109.0,84.0,0.2789111812443643,1.2976190476190477,3.5853707819761564,0.7706422018348624,#f55e6f
137,Stress_Light-on,4,female,14.454499192424276,27.891231718919396,188.0,56.0,0.5182452800253847,3.357142857142857,1.9295882442981784,0.2978723404255319,#f55e6f
138,Stress_Light-on,4,female,21.020200736882224,19.222462203023756,199.0,83.0,1.0935228023793788,2.397590361445783,0.9144756724085826,0.41708542713567837,#f55e6f
139,Stress_Light-on,4,female,11.062880569120395,39.89670625590322,172.0,122.0,0.2772880672946154,1.4098360655737705,3.6063578564940966,0.7093023255813954,#f55e6f
140,Stress_Light-on,4,male,16.75841271360873,25.51816571729453,178.0,140.0,0.6567248171074845,1.2714285714285714,1.522707797772065,0.7865168539325843,#f55e6f
141,Stress_Light-on,4,male,5.5541483408939145,70.96506781495383,60.0,86.0,0.07826594847167241,0.6976744186046512,12.776948590381425,1.4333333333333333,#f55e6f
142,Stress_Light-on,4,male,13.512234689739083,42.870983732143664,118.0,105.0,0.3151836863404635,1.1238095238095238,3.172753043188261,0.8898305084745762,#f55e6f
143,Stress_Light-on,4,male,14.560457623775397,36.11348543625485,104.0,53.0,0.4031861629494766,1.9622641509433962,2.4802438473696093,0.5096153846153846,#f55e6f
144,Stress_Light-on,4,female,19.49602122015915,9.134615384615383,66.0,30.0,2.134301270417423,2.2,0.46853741496598633,0.45454545454545453,#f55e6f
145,Stress_Light-on,4,female,22.689319875284045,15.462664482375946,222.0,35.0,1.4673615857826383,6.3428571428571425,0.6814952835681846,0.15765765765765766,#f55e6f
146,Stress_Light-on,4,female,32.87597413364284,27.553473719117893,132.0,66.0,1.1931698510606286,2.0,0.8381036439288868,0.5,#f55e6f
147,Stress_Light-on,4,female,17.932489451476794,29.22496113701977,162.0,51.0,0.6136018237082066,3.176470588235294,1.6297213622291022,0.3148148148148148,#f55e6f
148,Stress_Light-on,4,male,12.517714662887538,37.75892527809594,147.0,140.0,0.33151670951156814,1.05,3.0164392059553347,0.9523809523809523,#f55e6f
149,Stress_Light-on,4,male,9.654170126942697,48.083995729030725,75.0,80.0,0.20077720207253885,0.9375,4.980645161290322,1.0666666666666667,#f55e6f
150,Stress_Light-on,4,male,13.040786316848541,50.11802492067178,148.0,104.0,0.26020152105933675,1.4230769230769231,3.8431750741839767,0.7027027027027027,#f55e6f
151,Stress_Light-on,4,male,16.48697789956209,35.98555660836385,160.0,89.0,0.45815542271562765,1.797752808988764,2.1826654240447345,0.55625,#f55e6f
