revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
trotting,17483,17477,17483,6
left_turning,17531,17483,17531,48
running,17557,17531,17557,26
sniffing,17559,17557,17559,2
walking,17582,17559,17582,23
rising,17646,17582,17646,64
climbing,17683,17646,17683,37
rising,17729,17683,17729,46
sniffing,17813,17729,17813,84
trotting,17842,17813,17842,29
climbing,17895,17842,17895,53
walking,17915,17895,17915,20
trotting,17935,17915,17935,20
sniffing,17996,17935,17996,61
right_turning,18023,17996,18023,27
running,18064,18023,18064,41
walking,18121,18064,18121,57
sniffing,18156,18121,18156,35
rising,18176,18156,18176,20
right_turning,18192,18176,18192,16
walking,18257,18192,18257,65
sniffing,18258,18257,18258,1
rearing,18286,18258,18286,28
sniffing,18359,18286,18359,73
stepping,18395,18359,18395,36
sniffing,18468,18395,18468,73
left_turning,18482,18468,18482,14
walking,18543,18482,18543,61
sniffing,18555,18543,18555,12
rising,18570,18555,18570,15
climbing,18657,18570,18657,87
rising,18698,18657,18698,41
climbing,18747,18698,18747,49
right_turning,18763,18747,18763,16
walking,18786,18763,18786,23
climbing,18858,18786,18858,72
left_turning,18896,18858,18896,38
sniffing,18920,18896,18920,24
walking,18959,18920,18959,39
sniffing,18982,18959,18982,23
left_turning,18992,18982,18992,10
sniffing,18993,18992,18993,1
rising,19000,18993,19000,7
climbing,19020,19000,19020,20
rising,19076,19020,19076,56
climbing,19077,19076,19077,1
stepping,19108,19077,19108,31
climbing,19196,19108,19196,88
rising,19197,19196,19197,1
climbing,19280,19197,19280,83
hunching,19345,19280,19345,65
grooming,19503,19345,19503,158
rising,19504,19503,19504,1
walking,19550,19504,19550,46
left_turning,19551,19550,19551,1
walking,19587,19551,19587,36
sniffing,19650,19587,19650,63
walking,19676,19650,19676,26
climbing,19723,19676,19723,47
sniffing,19724,19723,19724,1
climbing,19808,19724,19808,84
rearing,19840,19808,19840,32
sniffing,19970,19840,19970,130
rising,20068,19970,20068,98
climbing,20172,20068,20172,104
rising,20219,20172,20219,47
climbing,20245,20219,20245,26
sniffing,20329,20245,20329,84
left_turning,20401,20329,20401,72
walking,20433,20401,20433,32
sniffing,20477,20433,20477,44
rising,20519,20477,20519,42
sniffing,20551,20519,20551,32
rising,20582,20551,20582,31
walking,20641,20582,20641,59
sniffing,20736,20641,20736,95
walking,20786,20736,20786,50
sniffing,20871,20786,20871,85
rising,20905,20871,20905,34
climbing,20906,20905,20906,1
left_turning,20907,20906,20907,1
sniffing,21038,20907,21038,131
walking,21071,21038,21071,33
sniffing,21140,21071,21140,69
trotting,21173,21140,21173,33
right_turning,21187,21173,21187,14
hunching,21303,21187,21303,116
climbing,21345,21303,21345,42
trotting,21368,21345,21368,23
sniffing,21369,21368,21369,1
rearing,21370,21369,21370,1
hunching,21400,21370,21400,30
sniffing,21498,21400,21498,98
walking,21543,21498,21543,45
sniffing,21627,21543,21627,84
left_turning,21652,21627,21652,25
sniffing,21784,21652,21784,132
trotting,21833,21784,21833,49
walking,21925,21833,21925,92
sniffing,21971,21925,21971,46
walking,22015,21971,22015,44
climbing,22072,22015,22072,57
stepping,22135,22072,22135,63
rising,22194,22135,22194,59
climbing,22231,22194,22231,37
right_turning,22244,22231,22244,13
climbing,22260,22244,22260,16
sniffing,22261,22260,22261,1
climbing,22293,22261,22293,32
sniffing,22294,22293,22294,1
rising,22362,22294,22362,68
climbing,22423,22362,22423,61
sniffing,22424,22423,22424,1
rearing,22425,22424,22425,1
climbing,22516,22425,22516,91
sniffing,22517,22516,22517,1
walking,22559,22517,22559,42
sniffing,22560,22559,22560,1
rising,22613,22560,22613,53
sniffing,22641,22613,22641,28
left_turning,22669,22641,22669,28
walking,22698,22669,22698,29
left_turning,22760,22698,22760,62
sniffing,22817,22760,22817,57
stepping,22830,22817,22830,13
sniffing,22904,22830,22904,74
walking,23003,22904,23003,99
sniffing,23212,23003,23212,209
climbing,23214,23212,23214,2
rearing,23266,23214,23266,52
rising,23314,23266,23314,48
climbing,23372,23314,23372,58
stepping,23423,23372,23423,51
left_turning,23458,23423,23458,35
sniffing,23511,23458,23511,53
left_turning,23575,23511,23575,64
sniffing,23623,23575,23623,48
rising,23670,23623,23670,47
sniffing,23671,23670,23671,1
walking,23712,23671,23712,41
sniffing,23713,23712,23713,1
right_turning,23750,23713,23750,37
walking,23760,23750,23760,10
sniffing,23796,23760,23796,36
walking,23831,23796,23831,35
sniffing,23857,23831,23857,26
rising,23859,23857,23859,2
sniffing,23900,23859,23900,41
climbing,23924,23900,23924,24
walking,24096,23924,24096,172
sniffing,24105,24096,24105,9
stepping,24151,24105,24151,46
sniffing,24152,24151,24152,1
left_turning,24191,24152,24191,39
sniffing,24192,24191,24192,1
hunching,24193,24192,24193,1
rising,24209,24193,24209,16
walking,24303,24209,24303,94
sniffing,24322,24303,24322,19
left_turning,24323,24322,24323,1
sniffing,24395,24323,24395,72
