revised_movement_label,segBoundary,segBoundary_start,segBoundary_end,length
sniffing,20567,20428,20567,139
left_turning,20623,20567,20623,56
stepping,20660,20623,20660,37
sniffing,20661,20660,20661,1
grooming,20842,20661,20842,181
sniffing,20843,20842,20843,1
left_turning,20855,20843,20855,12
walking,20856,20855,20856,1
right_turning,20864,20856,20864,8
running,20865,20864,20865,1
walking,20894,20865,20894,29
stepping,20971,20894,20971,77
sniffing,21033,20971,21033,62
grooming,21068,21033,21068,35
left_turning,21085,21068,21085,17
grooming,21314,21085,21314,229
walking,21355,21314,21355,41
rearing,21402,21355,21402,47
stepping,21404,21402,21404,2
sniffing,21492,21404,21492,88
walking,21493,21492,21493,1
grooming,21636,21493,21636,143
stepping,21653,21636,21653,17
walking,21701,21653,21701,48
sniffing,21821,21701,21821,120
rising,21855,21821,21855,34
sniffing,21972,21855,21972,117
climbing,21981,21972,21981,9
grooming,22086,21981,22086,105
stepping,22151,22086,22151,65
climbing,22228,22151,22228,77
sniffing,22254,22228,22254,26
walking,22298,22254,22298,44
sniffing,22299,22298,22299,1
rising,22311,22299,22311,12
left_turning,22316,22311,22316,5
trotting,22319,22316,22319,3
sniffing,22384,22319,22384,65
stepping,22433,22384,22433,49
trotting,22480,22433,22480,47
sniffing,22481,22480,22481,1
rearing,22482,22481,22482,1
grooming,22590,22482,22590,108
right_turning,22612,22590,22612,22
rising,22638,22612,22638,26
grooming,22845,22638,22845,207
hunching,22887,22845,22887,42
rearing,22935,22887,22935,48
climbing,23032,22935,23032,97
rearing,23081,23032,23081,49
sniffing,23109,23081,23109,28
rising,23132,23109,23132,23
rearing,23135,23132,23135,3
climbing,23157,23135,23157,22
right_turning,23216,23157,23216,59
walking,23242,23216,23242,26
rearing,23277,23242,23277,35
climbing,23317,23277,23317,40
right_turning,23365,23317,23365,48
walking,23439,23365,23439,74
sniffing,23440,23439,23440,1
hunching,23468,23440,23468,28
rearing,23550,23468,23550,82
left_turning,23551,23550,23551,1
trotting,23575,23551,23575,24
walking,23667,23575,23667,92
grooming,23697,23667,23697,30
hunching,23747,23697,23747,50
grooming,23779,23747,23779,32
left_turning,23817,23779,23817,38
